Date,Predicted_Close
2022-08-02,8.017265
2022-08-03,8.528778
2022-08-04,8.738895
2022-08-05,8.733308
2022-08-06,8.6480055
2022-08-07,8.738324
2022-08-08,8.776324
2022-08-09,8.772039
2022-08-10,8.621202
2022-08-11,8.469369
2022-08-12,8.356899
2022-08-13,8.362823
2022-08-14,8.3604965
2022-08-15,8.340255
2022-08-16,8.3597
2022-08-17,8.389565
2022-08-18,8.37578
2022-08-19,8.216703
2022-08-20,7.8268085
2022-08-21,7.3476043
2022-08-22,6.9357586
2022-08-23,6.6191916
2022-08-24,6.4259796
2022-08-25,6.3224177
2022-08-26,6.3059087
2022-08-27,6.2199454
2022-08-28,6.143839
2022-08-29,6.0480585
2022-08-30,6.0268598
2022-08-31,5.996057
2022-09-01,5.971995
2022-09-02,5.9587812
2022-09-03,5.9629474
2022-09-04,6.0923667
2022-09-05,6.2242923
2022-09-06,6.3113966
2022-09-07,6.266109
2022-09-08,6.1952686
2022-09-09,6.120912
2022-09-10,6.146313
2022-09-11,6.219195
2022-09-12,6.3141756
2022-09-13,6.4284186
2022-09-14,6.427324
2022-09-15,6.3664894
2022-09-16,6.239099
2022-09-17,6.1158485
2022-09-18,6.031401
2022-09-19,5.872629
2022-09-20,5.741217
2022-09-21,5.6199
2022-09-22,5.5212164
2022-09-23,5.4938903
2022-09-24,5.5428357
2022-09-25,5.606029
2022-09-26,5.69109
2022-09-27,5.768187
2022-09-28,5.8343644
2022-09-29,5.903508
2022-09-30,5.9472327
2022-10-01,5.951584
2022-10-02,5.903709
2022-10-03,5.8106346
2022-10-04,5.732888
2022-10-05,5.6900716
2022-10-06,5.6723003
2022-10-07,5.6558056
2022-10-08,5.640896
2022-10-09,5.6171284
2022-10-10,5.5984163
2022-10-11,5.5397396
2022-10-12,5.464771
2022-10-13,5.396008
2022-10-14,5.3415356
2022-10-15,5.29333
2022-10-16,5.2771287
2022-10-17,5.2767267
2022-10-18,5.3028865
2022-10-19,5.318046
